First Author	Year	Organism	Organism (cleaned)	Dataset name	Volume(as quoted)	Volume (μm³)	Volume (claude)	Resolution (nm)	Resolution (claude)	Dataset Size (TB)	Dataset Size (Claude)	Acquisition Time (days)	Scanning Costs ($)	Method	Method (claude)	Completion %	References	Notes
Sina Mansour	2021	Human	Human	Human Connectome Project (HCP)	not specified			1.25 mm 	1250.0	30TB	30.0	18–343 days for retest sessions; original acquisition took years	not specified	"Structural, functional, and diffusion-weighted MRI; probabilistic tractography;
sparse matrix representations; high-resolution cortical maps and connectome computation"	Tractography	100%	https://pdf.sciencedirectassets.com/272508/1-s2.0-S1053811921X0002X/1-s2.0-S1053811920311800/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjED0aCXVzLWVhc3QtMSJHMEUCIQDVDNRk3JgBr59wMY8W4QelQrZY%2FKTuyPcj9UHGYeTxDQIgCDUhd%2Bthwpu6o1o3A%2Fe%2FXa0nzrjlkym3%2BNZLpmmI1%2BYqvAUI1f%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDB4EQ9Rl%2B%2F%2FcUcjbSSqQBcBstVSuNMZ0IgccKTLYeXuae7zpFQKTKjCas8D8W1Z9xT8mA0B%2B891y7%2FQcyxuJEPaiFGMOJT4LcCsKlxgDRSUre59fhIP0oWMZjTI2jHd9JFLQW0AndQaFhgFloF1JWEyZ8zSgXn7M9w387YI3xTDh6SdSZQUTOVHNN6MGC%2BVmqcT6o%2F%2BPt9TL%2FwJRmRu4Lz3Uqrtm7fARWtqRWLTNpZ3aC9Yj86kXXS9wmL0ua9HqR0MAl4o8mPIdRTscFmhvuz66soEYn9nmWMg6LE9zBslwHphlRohtNFjShaO3YhTbp64eQTU0%2FW1G8cPwT4bvvcY%2FXCbNH%2Fvkidhrtwl7TGgTF4EfIo%2Fppd9tQvewh5kojtYKXZ7HGaXmztCB%2BWmfF58oqTo3Ta%2FS%2BNS8qzO%2BshUn9CPzPND2KoLbuGqmPdHK1BcTw%2FDPfOImKra4VFiRkKxK9teng8RYjbf5Lh4lAWxayFh6D%2F8WfIyhlEaWvQ0O5jUc5lpJD5qd0kNx98aA9zq5Nlsrje8G1VzMMEVq5OXl7H8AxhOGPfM0YCP%2BI2MBHj1v4VVliwsQLEH9dkHCP%2FRhazVP%2FsaamQPcVnDcrCMMCBidX4NvQ1ttz8biDZ9r0ajdTkzWEYiIGaicflmkYsjQeO6izB%2Bj4ssRMXH00vbIwpqF9foYK%2FGhPG2zcaegkWSOTME8qJrtWM23c3r7%2BF1247WU7JNaCTM1vNxYCyV3NQC6KI2hJJfNl7a6VBmLQIXsBXF0C5GQh2U1UL2JK8OaqWz8QSAxedgG0pVi74Q6R8uc8iZcO2jPFwpj%2BmVQVbZ6LF1wLj5xYggP0SN%2BTDz84uTZyN5zCi1GktEp0GUcgpvUtIR0yH4xNmBk3avzMIuLh7oGOrEB%2FVJZcvMMuiQ3J4fTsXWTjT4AoT7gVFRGf%2Brl0piiuDRXUjjLzJ6M7gDz77Ah%2B9kOKQKMlrT0l3Yn%2F%2BGSABb8UC%2BmKYQpPqKAISMhn8fUghS8SeqspLEr6FBCuqpIjea7Q6xY7cuDokpZMNBHOWFwdNFq2CDY6qRr8nB32bE3kYqw2OeX8Y81U3ilXGSO4cOHa3JiKSKLzTNei0gi4xiOxwNUnGNxYZaVSgXtWTxafVUo&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20241123T121537Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYU36RWRTV%2F20241123%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=956d79856f1b0c8b042fe4363aaec22e4f52ac4ba18cd59aae58ae0fe5cae673&hash=ed7599726d5cefac9a2b71466c8c18d43033d064f42e7bdea8a732e936e1944c&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1053811920311800&tid=spdf-0abda4d5-3836-4ff0-ae87-532592adf11d&sid=87a096c983b3e5453c68b2d37e36f6fc7f40gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1d045d0a54565e5b005f06&rr=8e7115f0c8c6cd11&cc=gb	"This study developed high-resolution connectomic methods to predict behaviour and identity, emphasizing individual
differences in cortical and connectomic properties."
Fang Xu	2021	Rhesus Monkey (Macaca mulatta)	Rhesus Monkey	Not explicitly named; data acquired using the SMART pipeline	80.5 to 97.6 cm3	Approx. 1.5×1015μm3	1500000000000000.0	1 × 1 × 2.5 µm³ voxel resolution	1000.0	750TB	750.0	3.9 days (94 hours of imaging time)	not specified	"Serial sectioning, PuClear tissue clearing, VISoR2 fluorescence microscopy, and
semiautomated volume reconstruction using the SMART pipeline"	Neuronal Circuit Mapping	95%	https://www.nature.com/articles/s41587-021-00986-5	"This study established a scalable workflow for mesoscale mapping of the monkey brain, revealing cortical and thalamic projection pathways.
Significant improvements in imaging speed and dataset handling were demonstrated."
Fred Shen	2020	Mouse	Mouse	multichannel LM dataset	590 × 404 × 160 μm3	38,137,600	38137600.0	150 × 150 × 350 nm3	250.0	not given		18		Light microscopy with immunostaining and molecular specificity	Microscopy Techniques	100%	 https://www.nature.com/articles/s41467-020-18422-8	Uses a novel multiplexed antigen detection strategy involving multiple rounds of immunostaining, imaging, and stripping
Wei Yin et al.	2020	Human	Human		1 mm³	1,000,000,000	1000000000.0	4 x 4 x 30	12000.0	150	150.0	90	~2,000,000	FIB-SEM	Electron Microscopy	85%	10.1038/s41592-020-0935-4	First large-scale human tissue study
Eviatar Yemini	2020	Caenorhabditis elegans	C. elegans	NeuroPAL				~10 nm	10.0			not given	not given	Confocal Microscopy	Microscopy Techniques	94%	https://doi.org/10.1101/676312	"Data acquisition time not mentioned- Individual experiments involved a 2-minute waiting period, followed by a 4-minute recording.
Additional waiting times between stimuli and preparations are mentioned."
Ons M’Saad	2020	HeLa cells and U-2OS cells (human cell lines)	Human	pan-ExM processed datasets (referred as this but no specific name)	not applicable	not applicable		~20–30 nm	25.0			not specifically mentioned, but a few minutes per participant over a few days	not given	Confocal Microscopy,Expansion microscopy (pan-ExM), fluorescence microscopy, and STED	Microscopy Techniques	100%	DOI: 10.1038/s41467-020-17523-8	"Developed pan-ExM, enabling 13- to 21-fold expansion of samples, retaining ultrastructure while achieving nanoscale resolution.
Process compatible with immunolabeling and fluorescent dyes."
Scheffer L.K.	2020	Drosophila	Drosophila	not mentioned	8 × 8 × 8 nm3	"5.12×10 −7

 ."	5.12e-07	<10 nm	10.0	1,000,000	1.0	not specifically mentioned		FIB-SEM	Electron Microscopy	49.35	https://elifesciences.org/articles/57443#table2	"New methods, including advanced tissue preparation, high-resolution imaging, data alignment, automated segmentation,
synapse detection, and proofreading tools, enabled the mapping of a large portion of the Drosophila melanogaster
central brain. The publicly accessible dataset simplifies circuit analysis, linking neurons to genetic tools and offering
insights into brain organization and evolutionary packing efficiency."
Philip M. Hubbard	2020	Drosophila melanogaster	Drosophila	FlyEM Dataset	not explicitly stated			not mentioned (high resolution mention)		10 TB	10.0	not mentioned	not specified	"Electron microscopy (EM), semi-automated 3D segmentation,
Neu3 software for proofreading"	Electron Microscopy	85%	https://www.biorxiv.org/content/10.1101/2020.01.17.909572v1.full 	"The study introduced Neu3, a tool combining 3D visualization and graph-based segmentation, to enhance proofreading workflows and
scalability for large connectomic datasets."
Louis K. Scheffer	2020	Drosophila melanogaster	Drosophila	FlyEM Connectome	Half-brain reconstruction	Approximately 100,000,000μm3	100000000.0	8 x 8 x 8 nm	8.0	20 TB raw data	20.0	Data collection and processing spanned 50+ person-years	not specified	"Serial-section electron microscopy (ssEM), automated segmentation with
machine learning, manual proofreading"	Neuronal Circuit Mapping	95%	https://elifesciences.org/articles/62451 	"The study represents the largest and most detailed connectome reconstruction to date, revealing 25,000 neurons and 20 million synapses
 in the fruit fly's central brain."
Longyu Ma	2019	Rats	Rat	not mentioned	not mentioned			"not specific
but low and high both
resolution used"		Likely in gigabytes (GB) to low terabytes (TB)	0.001	9-12 days	"Estimated in the
range of
$50,000–$150,000."	"Longitudinal in vivo electrophysiological recording, chemogenomics,
optogenetics, behavioral testing, BDNF overexpression"	Neuronal Circuit Mapping	100%	https://www.cell.com/action/showPdf?pii=S2211-1247%2819%2931295-1	"Findings- Persistent spontaneous pain disrupts vCA1-IL connectivity, which can be rescued via genetic interventions (BDNF overexpression,
chemogenetics)."
Alessandro Motta	2019	Mouse (C57BL/6 strain)	Mouse	L4dense Dataset 	61.8μm×94.8μm×92.6μm	541084μm³ 	541084.0	11.24×11.24×28nm	15.92	194 GB raw data; post processing not specified	0.194	Approximately 30–40 days	not specified	"Serial Block-Face Electron Microscopy (SBEM); AI-driven segmentation and manual
proofing"	Electron Microscopy	97%	https://www.science.org/doi/10.1126/science.aay3134 	Achieved the largest dense reconstruction of cortical connectomes, introducing scalable annotation strategies. Provided insights into Hebbian plasticity and connectomic cell-type definitions.
Jerome J. Maller	2019	Human	Human	CDCP Hippocampal Connectome (CDCP-HC)	not explicitly stated			"2 mm isotropic voxel size
(300 µm super-resolution for specific analyses)"	2000000.0	1TB	1.0	Several Months (25 minutes per subject)	not specified	"1150-direction diffusion MRI, super-resolution track density imaging (TDI),
connectomic analysis"	Tractography	100%	https://www.nature.com/articles/s41598-018-37905-9 	"The study mapped hippocampal connectivity using ultra-high angular resolution diffusion MRI, identifying six dominant pathways and
quantifying age- and gender-related effects."
Meng Kuan Lin	2019	Common Marmoset (Callithrix jacchus)	Common Marmoset	Not explicitly named; generated under the Brain/MINDS project	"8,222 mm³ (median brain volume
across samples)"	Approx. 8.22×1012μm3	8220000000000.0	20,000 × 20,000 × 20,000 nm (20 μm slices)	20000.0	8TB per brain x 49 marmosets = 392 TB	392.0	14 days (processing and imaging for a single brain)= 720 days	"not specified
(mentions high cost)"	"Integrated neuro histological pipeline using tracer injections, cryo-sectioning, histological
staining (Nissl, myelin), and high-throughput computational processing"	Neuronal Circuit Mapping	50%	https://elifesciences.org/articles/40042	"This study established a systematic methodology for mesoscale mapping, integrating imaging, staining, and computational approaches to produce
a connectivity matrix."
Johan Winnubst	2019	Mouse	Mouse	MouseLight	1,300 × 2,000 × 600 µm³ per region	Approx. 1.56×109μm3 per region	1560000000.0	300 × 300 × 1,000 nm	300000.0	15 TB per brain, 20 mice = 15 x 20= 300 TB	300.0	7 days per brain, 20 mice = 7 x 20 = 140 days	"not specified
(mentions high cost)"	"Viral labeling, two-photon block-face imaging, semi-automated reconstruction, and
manual proofreading"	Neuronal Circuit Mapping	90%	https://www.cell.com/action/showPdf?pii=S0092-8674%2819%2930842-6	Generated a database of over 1,000 fully reconstructed neurons with detailed axonal projections, revealing new cell types and connectivity patterns.
Zheng	2018	Drosophila	Drosophila	FAFB	1 mm³	1,000,000,000	1000000000.0	4 x 4 x 40	8000.0	100	100.0	60	~1,000,000	ssTEM	Electron Microscopy	95%	DOI: 10.1016/j.cell.2018.06.019	First complete fruit fly brain connectome
Zheng Z	2018	Mouse	Mouse	MICrONS		1.2 x 10⁹	1200000000.0	3.58	3580.0	not given 		not given	not given	Serial section SEM	Electron Microscopy	100%	https://www.microns-explorer.org/cortical-mm3	"Zheng et al. mapped the mouse visual cortex using serial section electron microscopy, creating the
largest mesoscale connectome, revealing connectivity patterns and neuronal circuits across cortical layers and regions."
Robert S. C. Amaral	2018	Human	Human	OASIS (healthy aging) and ADNI (pathological aging) datasets	not explicitly stated			High-resolution MRI voxel size: 0.3 mm isotropic	300000.0	1 TB	1.0	several weeks	not specified	"Manual segmentation of fornix, fimbria, and alveus; 3T MRI acquisition;
MAGeT-Brain automated labeling for analysis"	Manual Tracing	100%	https://www.sciencedirect.com/science/article/pii/S105381191630581X?via%3Dihub 	"The study provides detailed protocols for manual and automated segmentation of hippocampal white matter regions,
emphasizing their role in healthy and pathological aging."
D. C. Essen	2017	Human	Human	HCP datsets	not given	not given		MRI:3T, 7T		Processed- 63 , Unprocessed-15.2 , Both Analyzed- 81.2 	38.13	1906 days	not given	MRI, fMRI and MEG	Neuronal Circuit Mapping	100%	doi: 10.1016/j.neuroimage.2012.02.018	Recruitment Criteria-Age 22-35 years. Uses various NIH tools to see cognition, motor, emotional, sensory skills
Klaus H. Maier-Hein	2017	Human	Human	Simulated Diffusion Phantom Dataset	not explicitly stated			2 mm	2000.0	mentions greater than 1TB	1.0	not mentioned	not specified	"Diffusion-weighted MRI (DWI), synthetic phantom data, tractography simulations
 with 25 major tracts"	Tractography	85%	https://www.nature.com/articles/s41467-017-01285-x 	"The study highlighted challenges in tractography with phantom data, emphasizing false-positive connections and the need for methodological
improvements in brain connectivity mapping."
Katharina Eichler	2017	Drosophila melanogaster	Drosophila	not specified	Entire mushroom body of a first-instar larva	Approximately 1.5×106μm3	1500000.0	8 x 8 x 8 nm 	8.0	25 TB raw data	25.0	not mentioned	not specified	Serial-section electron microscopy, manual proofreading, and graph-based modeling	Electron Microscopy	100%	https://www.nature.com/articles/nature23455 	"This study mapped the entire mushroom body connectome at synaptic resolution, identifying 223 Kenyon cells, modulatory neurons, and extensive
connectivity motifs."
Jan Funke	2017	Drosophila melanogaster, mouse	Drosophila	CREMI, FIB-25, SEGEM	"CREMI: 1250×1250×125μm³
 FIB-25: 520×520×520μm³
SEGEM: 100×100×100μm³
"	"CREMI: ~195,312,500μm3;
FIB-25: ~140,608,000μm3;
SEGEM: ~1,000,000μm3"	445640500.0	"CREMI: 4×4×40nm;
FIB-25: 8×8×8nm;
SEGEM: 11×11×26nm"	16.0	"CREMI: ~2 TB;
FIB-25: ~10 TB;
SEGEM: ~1 TB"	2.0	"CREMI: ~weeks;
FIB-25: months;
SEGEM: months"	not specified	"Serial Section Electron Microscopy (ssTEM), Focused Ion Beam Scanning Electron
Microscopy (FIBSEM), Serial Block-Face Scanning Electron Microscopy (SBEM);
automated segmentation using 3D U-NET with MALIS loss"	Electron Microscopy	85%	https://export.arxiv.org/pdf/1709.02974v3.pdf 	"This study improved automated connectome reconstruction by integrating deep structured learning with large-scale graph-based segmentation
techniques."
Y. Shi and A.W. Toga	2017	Human	Human	Human Connectome Project	not specified(spans whole brain)			"Multi-resolution diffusion imaging:
 b-values (1000, 2000, 3000 s/mm²)"		2-3TB	2.5	not mentioned	"not specified
(mentions high cost)"	Diffusion Magnetic Resonance Imaging (dMRI), multi-shell acquisition, tractography	Tractography	90%	https://www.nature.com/articles/mp201792	"Advances in multi-shell imaging improved angular, spatial, and temporal resolution, enabling the reconstruction of challenging brain
pathways like retinofugal and brainstem."
Antonios Makropoulos	2017	Human (Neonates)	Human	Developing Human Connectome Project (dHCP)	"not specified--
453 neonatal brain scans covering 28-45
weeks post-menstrual age (PMA)"	"Approx. 100mm3 per brain,
or 100,000,000μm3 per subject"	100000000.0	800,000nm3 isotropic resolution	800000.0	3 TB approx	3.0	several weeks	"not specified
(mentions high cost)"	"Multi-shell High Angular Resolution Diffusion Imaging (HARDI), Draw-EM
segmentation, and cortical surface inflation modelling,structural and functional MRI"	Tractography	97%	https://www.biorxiv.org/content/10.1101/125526v1 	"The study introduced a neonatal brain MRI processing pipeline, addressing challenges in neonatal brain imaging, segmentation, and cortical surface
 reconstruction."
Kasthuri	2015	Mouse	Mouse	RCI	40 x 40 x 50 μm	80,000	80000.0	3 x 3 x 30	9.0	2	2.0	14	~250,000	ssTEM	Electron Microscopy	100%	DOI: 10.1016/j.cell.2015.06.054	Landmark cortical reconstruction
Manuel Berning	2015	Mouse	Mouse	"Retina Dataset (ek563) and
Cortex Dataset (2012-09-28_ex145_07x2)"	"Retina: 44×60×141μm³
Cortex: 93×60×93μm³"	"Retina: 372,240μm³
Cortex : 518,940 μm³"	445590.0	"Retina: 12×12×25nm

Cortex:11.24×11.24×28nm"	17.12	"Retina: ~0.5 TB;
Cortex: ~1 TB"	0.75	"Imaging: Retina ~30 days
Cortex ~60 days"	not specified	"Serial Block-Face Electron Microscopy (SBEM), semi-automated SegEM segmentation
workflow with convolutional neural networks (CNNs) for volume reconstruction"	Electron Microscopy	95%	https://www.cell.com/neuron/fulltext/S0896-6273(15)00760-6	"The study introduced SegEM, a workflow for efficient 3D connectomics. It achieved significant reductions in manual labour and accelerated
reconstruction of neural circuits."
Ulrika Roine	2015	Human (autistic)	Human	"data based on constrained spherical deconvolution (CSD)
tractography"	not explicitly stated	"Not explicitly stated; approximate standard
adult human brain volume 1.3×10^12μm³
  "	1300000000000.0	1.875 mm × 1.875 mm × 3.0 mm	1875000.0	Not explicitly stated; estimated < 1 TB for processed data		20 minutes per session; took several weeks	not specified	"Constrained spherical deconvolution (CSD)-based whole-brain tractography, graph
theoretical analysis of weighted and unweighted structural brain networks"	Tractography	95%	https://molecularautism.biomedcentral.com/articles/10.1186/s13229-015-0058-4 	"This study highlighted reduced global efficiency and increased normalized characteristic path length in subjects with autism spectrum
disorder (ASD) compared to controls."
Oh S.W.	2014	Mouse	Mouse		28 x 35 x 49 μm			"not specified
(High Resolution)"						EGFP, Serial Two-Photon Tomography, Virtual Tractography	Neuronal Circuit Mapping		https://www.nature.com/articles/nature13186
Plaza S.M.	2014	"Multiple (e.g., C. elegans, Drosophila
melanogaster, Mouse, and Human)"	Multiple	FlyEM, C. elegans connectome and Drosophila medulla connectome	"- C. elegans: 0.0003 mm³
- Drosophila medulla column: 0.0001 mm³
- Mouse cortical column: ~1 mm³"	"- C. elegans: 300 μm³
- Drosophila medulla column: 100 μm³
- Mouse cortical column: 1,000,000 μm³"	133333.33	"Varies by dataset:
- C. elegans: 5x5x70 nm
- Drosophila medulla: ~8 nm
- Mouse retina: 16x16x25 nm"	19.6	not specific		Ranges from weeks to months	"$50,000 to $500,000
per dataset."	"Serial Electron Microscopy (sEM), FIB-SEM, and advanced reconstruction techniques
involving automated segmentation and human proofreading."	Electron Microscopy	"- C. elegans: 100%
- Drosophila medulla column: Near-complete
- Mammalian cortical column and whole
brain: Incomplete"	https://www.sciencedirect.com/science/article/pii/S095943881400035X 	"Highlights advances in imaging, segmentation, and connectome analysis but acknowledges challenges in scaling methods to
larger brains like mouse and human."
Helmstaedter M.	2013	Mouse	Mouse	e2006 dataset	"132×114×80 μm³
"	1204800μm³	1204800.0	"16.5×16.5×25nm³
"	19.5	not specific		"Not mentioned specifically; estimated to take several weeks to
months for imaging and annotation"	"Not specified; costs
likely exceeded
$10 million
"	"Serial Block-Face Electron Microscopy (SBEM), crowd-sourced manual annotation,
machine learning-based segmentation, and convolutional neural networks for boundary
detection"	Electron Microscopy	100%	https://www.nature.com/articles/nature12346 	"The study reconstructed 950 neurons in the IPL, characterized a new bipolar cell type, and identified circuit motifs predicting
motion sensitivity. Data was validated with known circuits and is publicly accessible."
