id	year	img_tech	vx_x	vx_y	vx_z	vx_avg	vx_vol	tgt_vx_size	exp_paper	exp_eff	img_rate	vol_rate	mouse_time	human_time	mouse_str	human_str	mouse_scopes_1yr	human_scopes_1yr	mouse_scopes_1yr_str	human_scopes_1yr_str	cost_scope	cost_scopes_mouse_1yr	cost_scopes_human_1yr	ref_id	supporting_refs	ref_note	confidence	validated_by
			nm	nm	nm	nm3	mm3	nm			mhz	mm3/sec	sec	sec							$				none	none
Kasthuri 2015	2015.0	ATUM - SEM	4	4	40	8.62	6.40E-16	50	1.0	1.0	1.0	6.40E-10	7.81E+11	1.88E+15	24.8k years	59.5M years	24774.0	59455860.0	24.8K	59.5M			none	kasthuri2015
Hildebrand 2017	2017.0	ATUM - SEM	56	56	60	57.58	1.91E-13	50	1.0	1.15	1.0	1.91E-07	4.00E+09	9.60E+12	126.8 years	304.4k years	127.0	304415.0	127	304.4K			none	hildebrand2017
Hildebrand 2017	2017.0	ATUM - SEM	19	19	60	27.68	2.12E-14	50	1.0	1.0	1.0	2.12E-08	2.36E+10	5.66E+13	747.6 years	1.8M years	748.0	1794353.0	748	1.8M			none	hildebrand2017
Takemura 2017	2017.0	FIB - SEM	8	8	8	8.00	5.12E-16	50	1.0	1.0	0.2	7.94E-11	6.30E+12	1.51E+16	199.8k years	479.5M years	199772.0	479452055.0	199.8K	479.5M			none	takemura2017
Tobin 2017	2017.0	ATUM - SEM	4	4	50	9.28	8.00E-16	50	1.0	1.0	8.0	6.40E-09	7.81E+10	1.88E+14	2.5k years	5.9M years	2478.0	5945586.0	2.5K	5.9M			none	tobin2017
Takemura 2013	2013.0	ss - TEM	4	4	44	9.48	8.52E-16	50	1.0	1.0	0.0	3.19E-11	1.57E+13	3.76E+16	497.2k years	1193.2M years	497184.0	1193241532.0	497.2K	1193.2M			none	takemura2013
Loomba 2022	2022.0	SBF - SEM	11	11	30	15.59	3.79E-15	50	1.0	1.0	1.4	5.41E-09	9.23E+10	2.22E+14	2.9k years	7M years	2929.0	7027791.0	2.9K	7M			none	loomba2022
Loomba 2022	2022.0	SBF - SEM	11	11	30	15.59	3.79E-15	50	1.0	1.0	1.4	5.41E-09	9.23E+10	2.22E+14	2.9k years	7M years	2929.0	7027791.0	2.9K	7M			none	loomba2022
Loomba 2022	2022.0	SBF - SEM	11	11	30	15.59	3.79E-15	50	1.0	1.0	2.5	9.48E-09	5.28E+10	1.27E+14	1.7k years	4M years	1674.0	4015881.0	1.7K	4M			none	loomba2022
Loomba 2022	2022.0	SBF - SEM	11	11	30	15.59	3.79E-15	50	1.0	1.0	2.5	9.48E-09	5.28E+10	1.27E+14	1.7k years	4M years	1674.0	4015881.0	1.7K	4M			none	loomba2022
Loomba 2022	2022.0	SBF - SEM	11	11	30	15.59	3.79E-15	50	1.0	1.0	1.4	5.41E-09	9.23E+10	2.22E+14	2.9k years	7M years	2929.0	7027791.0	2.9K	7M			none	loomba2022
Loomba 2022	2022.0	ATUM - mSEM	4	4	37	8.39	5.90E-16	50	1.0	1.0	20.0	1.18E-08	4.23E+10	1.02E+14	1.3k years	3.2M years	1343.0	3222540.0	1.3K	3.2M			none	loomba2022
Loomba 2022	2022.0	ATUM - mSEM	4	4	40	8.63	6.43E-16	50	1.0	1.0	20.0	1.29E-08	3.89E+10	9.33E+13	1.2k years	3M years	1233.0	2958003.0	1.2K	3M			none	loomba2022
Scheffer 2020	2020.0	FIB - SEM	8	8	8	8.00	5.12E-16	50	1.0	1.0	0.3	1.39E-10	3.59E+12	8.63E+15	114k years	273.5M years	113958.0	273496956.0	114K	273.5M			none	scheffer2020
Bosch 2022	2022.0	SBF - SEM	50	50	50	50.00	1.25E-13	50	1.0	1.0	2.0	2.50E-07	2.00E+09	4.80E+12	63.4 years	152.2k years	64.0	152208.0	64	152.2K			none	bosch2022
Turner 2022	2022.0	ss - TEMCA	4	4	40	8.00	5.13E-16	50	1.0	1.0	500.0	2.56E-07	1.95E+09	4.68E+12	61.9 years	148.4k years	62.0	148450.0	62	148.5K			none	turner2022
MICrONS 2021	2021.0	GridTape - autoTEM	4	4	40	8.62	6.40E-16	50	1.0	1.0	20.8	1.33E-08	3.76E+10	9.02E+13	1.2k years	2.9M years	1192.0	2860020.0	1.2K	2.9M			none	microns2021
Shapson-Coe 2021	2021.0	ATUM - mSEM	4	4	33	8.08	5.28E-16	50	1.0	1.0	190.0	1.00E-07	4.98E+09	1.20E+13	158 years	379.3k years	159.0	379293.0	159	379.3K	4000000	636000000.0	1517172000000.0	shapsoncoe2021			none	none
Phelps 2021	2021.0	GridTape - TEMCA	4	4	45	9.41	8.32E-16	50	1.0	1.0	42.7	3.56E-08	1.41E+10	3.37E+13	445.9 years	1.1M years	446.0	1070142.0	446	1.1M			none	phelps2021
Hoffman 2020	2020.0	FIB - SEM	4	4	4	4.00	6.40E-17	50	1.0	1.0	0.2	1.28E-11	3.91E+13	9.38E+16	1.2M years	2972.8M years	1238664.0	2972792999.0	1.2M	2972.8M			none	hoffman2020
Hua 2021 cochlea	2021.0	SBF - SEM	11	11	40	16.92	4.84E-15	50	1.0	1.0	1.0	4.84E-09	1.03E+11	2.48E+14	3.3k years	7.9M years	3276.0	7861932.0	3.3K	7.9M			none	hua2021
Hua 2021 cochlea	2021.0	SBF - SEM	12	12	50	19.31	7.20E-15	50	1.0	1.0	0.7	4.80E-09	1.04E+11	2.50E+14	3.3k years	7.9M years	3304.0	7927448.0	3.3K	7.9M			none	hua2021
Hua 2021 cochlea	2021.0	SBF - SEM	12	12	50	19.31	7.20E-15	50	1.0	1.0	0.5	3.60E-09	1.39E+11	3.33E+14	4.4k years	10.6M years	4405.0	10569931.0	4.4K	10.6M			none	hua2021
Schwartz 2018	2018.0	SBF - SEM	13	13	32	17.55	5.41E-15	50	1.0	1.0	0.3	1.80E-09	2.77E+11	6.66E+14	8.8k years	21.1M years	8796.0	21108590.0	8.8K	21.1M		DOI not found; SBF-SEM imaging parameters from internal reference	none	schwartz2018
Schwartz 2018	2018.0	SBF - SEM	13	13	32	17.55	5.41E-15	50	1.0	1.0	0.3	1.80E-09	2.77E+11	6.66E+14	8.8k years	21.1M years	8796.0	21108590.0	8.8K	21.1M		DOI not found; SBF-SEM imaging parameters from internal reference	none	schwartz2018
Kornfeld 2017	2017.0	SBF - SEM	11	11	29	15.20	3.51E-15	50	1.0	1.0	2.1	7.47E-09	6.70E+10	1.61E+14	2.1k years	5.1M years	2124.0	5096701.0	2.1K	5.1M			none	kornfeld2017
Svara 2022	2022.0	SBF - SEM	14	14	25	16.98	4.90E-15	50	1.0	1.0	2.1	1.02E-08	4.92E+10	1.18E+14	1.6k years	3.7M years	1560.0	3743687.0	1.6K	3.7M			none	svara2022
Svara 2018	2018.0	SBF - SEM	9	9	21	11.94	1.70E-15	50	1.0	1.0	5.0	8.51E-09	5.88E+10	1.41E+14	1.9k years	4.5M years	1865.0	4474045.0	1.9K	4.5M			none	svara2018
Sievers 2024	2024.0	mSEM	4	4	35	8.24	5.60E-16	50	1.0	1.0	136.44	7.64E-08	6.54E+09	1.57E+13	207.5 years	498k years	208.0	498015.0	208	498K			none	sievers2024
Yin 2020	2020.0	autoTEM	4	4	40	8.62	6.40E-16	50	1.0	1.0	100.00	6.40E-08	7.81E+09	1.88E+13	247.7 years	594.6k years	248.0	594559.0	248	594.6K	250000	62000000.0	148639750000.0	yin2020			none	none
Zheng 2022	2022.0	bdTEM	4	4	45	8.35	5.83E-16	50	1.0	1.0	288.00	1.68E-07	2.98E+09	7.14E+12	94.4 years	226.6k years	95.0	226551.0	95	226.6K	500000	47500000.0	113275500000.0	zheng2022			none	none
Tavakoli 2024	2024.0	LICONN	10	10	26	13.46	2.44E-15	50	16.0	16.0	16.65	4.06E-08	1.23E+10	2.96E+13	390.8 years	937.8k years	391.0	937815.0	391	937.8K			none	tavakoli2024
Gao 2018	2018.0	ExLSSM	31	26	42	32.46	3.42E-14	50	3.95	3.95	32.81	1.12E-06	4.46E+08	1.07E+12	14.1 years	33.9k years	15.0	33921.0	15	33.9K			none	gao2018
Wang 2024	2024.0	VIPS	56	56	135	75.09	4.23E-13	50	1.93	2.9	165.85	7.02E-05	2.41E+07	5.79E+10	0.8 years	1.8k years	1.0	1836.0	1	1.8K	300000	300000.0	550800000.0	wang2024			none	none
Prince 2024	2024.0	ALSM	425	425	425	425.00	7.68E-11	50	1.0	8.5	18.03	1.38E-03	2.22E+08	5.32E+11	7 years	16.9k years	8.0	16884.0	8	16.9K	104000	832000.0	1755936000.0	prince2024			none	none
Chakraborty 2019	2019.0	ctALSM	425	425	425	425.00	7.68E-11	50	1.0	8.5	12.34	9.47E-04	3.24E+08	7.78E+11	10.3 years	24.7k years	11.0	24669.0	11	24.7K	120000	1320000.0	2960280000.0	chakraborty2019			none	none
Chen 2023	2023.0	pLSM	910	910	5000	1605.77	4.14E-09	50	1.0	32.12	44.5	1.84E-01	8.99E+07	2.16E+11	2.9 years	6.8k years	3.0	6841.0	3	6.8K			none	chen2023
Economo 2016	2016.0	2p tomography	300	300	1000	448.14	9.00E-11	50	1.0	8.96	16	1.44E-03	2.50E+08	6.00E+11	7.9 years	19k years	8.0	19026.0	8	19K			none	economo2016
Gong 2016	2016.0	fMOST	320	320	2000	589.45	2.05E-10	50	1.0	11.79	4	8.19E-04	1.00E+09	2.40E+12	31.7 years	76.1k years	32.0	76104.0	32	76.1K			none	gong2016
Narasimhan 2017	2017.0	Oblique light-sheet	410	410	410	410.00	6.89E-11	50	1.0	8.2	419	2.89E-02	9.55E+06	2.29E+10	0.3 years	726.5 years	1.0	727.0	1	727			none	narasimhan2017
Migliori 2018	2018.0	Light-sheet theta	230	230	5000	641.91	2.65E-10	50	1.0	12.84	105	2.78E-02	3.81E+07	9.14E+10	1.2 years	2.9k years	2.0	2900.0	2	2.9K			none	migliori2018
Voleti 2019	2019.0	SCAPE 2.0	240	240	240	240.00	1.38E-11	50	4.0	19.2	419	5.79E-03	9.55E+06	2.29E+10	0.3 years	726.5 years	1.0	727.0	1	727	400000	400000.0	290800000.0	voleti2019			none	none
Chen 2020	2020.0	Multifocal 2p tomography	400	400	1000	542.88	1.60E-10	50	1.0	10.86	77	1.23E-02	5.19E+07	1.25E+11	1.6 years	4k years	2.0	3954.0	2	4K			none	chen2020
Guo 2020	2020.0	Dual-inverted SPIM	240	240	240	240.00	1.38E-11	50	1.0	4.8	419	5.79E-03	9.55E+06	2.29E+10	0.3 years	726.5 years	1.0	727.0	1	727	250000	250000.0	181750000.0	guo2020			none	none
Chen 2020	2020.0	Tiling SPIM	300	300	1500	512.99	1.35E-10	50	1.0	10.26	105	1.42E-02	3.81E+07	9.14E+10	1.2 years	2.9k years	2.0	2900.0	2	2.9K			none	chen2020
Wang 2021	2021.0	fMOST	230	230	1000	375.39	5.29E-11	50	1.0	7.51	136	7.19E-03	2.94E+07	7.06E+10	0.9 years	2.2k years	1.0	2239.0	1	2.2K			none	wang2021
Zhang 2021	2021.0	Axially-swept SPIM	520	520	1000	646.65	2.70E-10	50	1.0	12.93	84	2.27E-02	4.76E+07	1.14E+11	1.5 years	3.6k years	2.0	3624.0	2	3.6K			none	zhang2021
Xu 2021	2021.0	VISOR2 SPIM	1000	1000	2500	1357.21	2.50E-09	50	1.0	27.14	373	9.33E-01	1.07E+07	2.57E+10	0.3 years	816.1 years	1.0	817.0	1	817			none	xu2021
Glaser 2022	2022.0	Open-top light-sheet	200	200	200	200.00	8.00E-12	50	1.0	4.0	105	8.40E-04	3.81E+07	9.14E+10	1.2 years	2.9k years	2.0	2900.0	2	2.9K			none	glaser2022
Qi 2023	2023.0	Confocal airy light-sheet	260	260	1060	415.35	7.17E-11	50	1.0	8.31	419	3.00E-02	9.55E+06	2.29E+10	0.3 years	726.5 years	1.0	727.0	1	727			none	qi2023
Vladimirov 2024	2024.0	Benchtop mesoSPIM	750	750	2000	1040.04	1.13E-09	50	1.0	20.8	37	4.16E-02	1.08E+08	2.59E+11	3.4 years	8.2k years	4.0	8228.0	4	8.2K	100000	400000.0	822800000.0	vladimirov2024			none	none
Tang 2024	2024.0	Curved LSFM	630	630	1250	791.64	4.96E-10	50	1.0	15.83	130	6.45E-02	3.08E+07	7.38E+10	1 years	2.3k years	1.0	2342.0	1	2.3K	90000	90000.0	210780000.0	tang2024			none	none
Glaser 2023	2023.0	ExA-SPIM (1×)	750	750	1000	825.48	5.63E-10	50	1.0	16.51	725	4.08E-01	5.52E+06	1.32E+10	0.2 years	419.9 years	1.0	420.0	1	420	250000	250000.0	105000000.0	glaser2023			none	none
Glaser 2023	2023.0	ExA-SPIM (2×)	380	380	500	416.40	7.22E-11	50	2.0	16.66	725	5.23E-02	5.52E+06	1.32E+10	0.2 years	419.9 years	1.0	420.0	1	420	250000	250000.0	105000000.0	glaser2023			none	none
Glaser 2023	2023.0	ExA-SPIM (3×)	250	250	330	274.24	2.06E-11	50	3.0	16.45	725	1.50E-02	5.52E+06	1.32E+10	0.2 years	419.9 years	1.0	420.0	1	420	250000	250000.0	105000000.0	glaser2023			none	none
Glaser 2023	2023.0	ExA-SPIM (4×)	190	190	250	208.20	9.03E-12	50	4.0	16.66	725	6.54E-03	5.52E+06	1.32E+10	0.2 years	419.9 years	1.0	420.0	1	420	250000	250000.0	105000000.0	glaser2023			none	none
Pacureanu 2019	2019.0	XNH	100	100	100	100.00	1.00E-12	50	1.0	2.0	250	2.50E-04	1.60E+07	3.84E+10	0.5 years	1.2k years	1.0	1218.0	1	1.2K			none	pacureanu2019
Humbel 2024	2024.0	µXCT	650	650	650	650.00	2.75E-10	50	1.0	13.0	115.18	3.16E-02	3.47E+07	8.33E+10	1.1 years	2.6k years	2.0	2643.0	2	2.6K			none	humbel2024
Wildenberg 2024	2024.0	µXCT	345	345	1600	575.33	1.90E-10	50	1.0	11.51	2.88	5.48E-04	1.39E+09	3.33E+12	44 years	105.7k years	45.0	105700.0	45	105.7K			none	wildenberg2024
