mapName	mapID	released_year	map_comment	doi	img_tech	n_machines_involved	n_machines_parallel	species	dev	organ	region	fov_x_um	fov_y_um	fov_z_um	fov_mm3	vx_x_nm	vx_y_nm	vx_z_nm	vx_avg_nm	dsSize_nVx	dsSize_TB	DT	imagingRate	imagingRate_perMachine
		year				units	units					um	um	um	um^3	nm	nm	nm	nm	nVx	TB	µs/px	MHz	MHz
mouse_cochlea	--	2021	Hua 2021 cochlea	https://doi.org/10.1016/j.celrep.2020.108551	SBF - SEM	1	1	mouse	adult	brain	cochlea	262	194	100	0.0050828	11	11	40	16.91538112	1050165289256	1.050165289	1	1	1
mouse_cochlea	--	2021	Hua 2021 cochlea	https://doi.org/10.1016/j.celrep.2020.108551	SBF - SEM	1	1	mouse	adult	brain	cochlea	192	108	147.6	0.0030606336	12	12	50	19.30978769	425088000000	0.425088	1.5	0.6666666667	0.6666666667
mouse_cochlea	--	2021	Hua 2021 cochlea	https://doi.org/10.1016/j.celrep.2020.108551	SBF - SEM	1	1	mouse	adult	brain	cochlea	192	108	149.25	0.003094848	12	12	50	19.30978769	429840000000	0.42984	2	0.5	0.5
mouse_glomerulus	C047_01a-10_roi01	2018	Schwartz 2018	DOI: 10.1038/s41467-017-02560-7	SBF - SEM	1	1	mouse	adult	brain	glomerulus	180	180	200	0.00648	13	13	32	17.55276591	1198224852071	1.198224852	3	0.3333333333	0.3333333333
mouse_glomerulus	C046_01b-05_roi01	2018	Schwartz 2018	DOI: 10.1038/s41467-017-02560-7	SBF - SEM	1	1	mouse	adult	brain	OB_layers	180	180	40	0.001296	13	13	32	17.55276591	239644970414	0.2396449704	3	0.3333333333	0.3333333333
ciona_ns	--	2013	Ryan 2016	https://doi.org/10.7554/eLife.16962	ss - TEM	1	1	ciona	larva	nervous_system		100	100	202.5	0.002025	3.85	3.85	60	9.616659441	2276943835385	2.276943835	undisclosed	undisclosed	undisclosed
platynereis_eye	--	2014	Randel 2014	https://doi.org/10.7554/eLife.02730	ss - TEM	1	1	platynereis	larva	brain	eye	140	140	80	0.001568	3.72	3.72	40	8.210733515	2832697421667	2.832697422	undisclosed	undisclosed	undisclosed
zebrafinch_cortex	--	2017	Kornfeld 2017	https://doi.org/10.7554/eLife.24364	SBF - SEM	1	1	zebrafinsh	adult	brain	cortex	166	166	77	0.002121812	11	11	29	15.19594767	604677115987	0.604677116	0.47	2.127659574	2.127659574
zebrafinch_bs	j0126	2018	Dorkenwald 2018	https://doi.org/10.1038/nmeth.4206	SBF - SEM	1	1	zebrafinsh	adult	spinal cord	basal ganglia	97.9	95.6	115	0.0010763126	9	9	20	11.74460292	664390493827	0.6643904938	undisclosed	undisclosed	undisclosed
zebrafish_larva	--	2022	Svara 2022	https://doi.org/10.1038/s41592-022-01621-0	SBF - SEM	1	1	zebrafish	larva	brain	brain	387	387	387	0.057960603	14	14	25	16.98499252	11828694489796	11.82869449	0.4820819411	2.074336155	2.074336155
zebrafish_spinalcord	--	2018	Svara 2018	https://doi.org/10.1016/j.celrep.2018.05.023	SBF - SEM	1	1	zebrafish	larva	spinal cord	spinal cord	74	74	207	0.001133532	9	9	21	11.93717162	666391534392	0.6663915344	0.2	5	5
