Name	URL	URL to Dataset	Description	Tags
NITRC	https://www.nitrc.org/ir/app/template/Index.vm	links to multiple datasets, notable ones linked below (BIRN, 1000 Functional Connectomes Project, Task-based fMRI atlases, )	Image repository (IR) to support NIfTI and DICOM neuroimaging data that is searchable by metadata, such as handedness and gender. Contains over a dozen datasets, with thousands of subjects and imaging sessions	multimodal
Open Source Brain	https://v2.opensourcebrain.org/repositories	https://v2.opensourcebrain.org/repositories	Public repository for detailed neuronal models in standardised formats. Allows for querying. Seems to be all DANDI, I’d remark to low priority	
StudyForrest	https://www.studyforrest.org/data.html	https://openneuro.org/datasets/ds000113/versions/1.3.0/download	MRI data repository that holds a set of 7-Tesla MRI images and behavioral metadata. Housed on OpenNeuro	MRI,fMRI
				
USC Multimodal Connectivity Database	https://umcd.humanconnectomeproject.org/umcd/default/browse	https://umcd.humanconnectomeproject.org/umcd/default/browse	Web-based repository and analysis site for connectivity matrices that have been derived from de-identified neuroimaging data	MRI,fMRI,multimodal
CCF	https://www.humanconnectome.org/study/hcp-young-adult/document/500-subjects-data-release/	Requires account: https://db.humanconnectome.org/app/template/Login.vm	Behavioral and 3T MR imaging data from over 500 healthy adult participants	MRI,fMRI
OASIS	https://www.oasis-brains.org/	"OASIS 1: OASIS 1 Link
OASIS 2: OASIS 2 Link
OASIS 3 and 4: Require account"	Neuroimaging and processed imaging data across a broad demographic, cognitive, and genetic spectrum. There are four different OASIS datasets that require different methods of access. The primary modality is MRI, but each dataset states that it comes with fMRI as well. Also housed on XNAT	CT,MRI,PET,fMRI,multimodal
XNAT	https://central.xnat.org/	https://central.xnat.org/app/template/Index.vm	Contains 396 projects, 7078 subjects, and 16612 imaging sessions. Mainly involves MR, PET, and CT	MRI,PET,fMRI,multimodal,ultrasound
Open NeuroData	https://registry.opendata.aws/open-neurodata/	https://registry.opendata.aws/open-neurodata/	Click on type of modality at top to see datasets        Multiple neuroimaging datasets (as Neuroglancer Precomputed Volumes) across multiple modalities and scales, ranging from nanoscale (electron microscopy), to microscale (cleared lightsheet microscopy and array tomography), and mesoscale (structural and functional magnetic resonance imaging)	MRI,electron microscopy,multimodal
GIN	https://gin.g-node.org/explore/repos	https://doi.gin.g-node.org/	Open data management system designed for comprehensive and reproducible management of neuroscientific data. Contains a very wide variety of datasets	MRI,ca2+,cell ephys,fMRI,multimodal,ultrasound
EBRAINS	https://search.kg.ebrains.eu/?category=Dataset	https://search.kg.ebrains.eu/?category=Dataset	Free and open database of neuroscience data, computational models and software tools	EEG,MRI,ca2+,cell ephys,electron microscopy,fMRI,multimodal
IDA	https://ida.loni.usc.edu/login.jsp		Provides tools and resources for de-identifying, integrating, searching, visualizing and sharing a diverse range of neuroscience data. Contains 151 studies and 97,744 subjects	CT,EEG,MRI,PET,multimodal
PhysioNet	https://physionet.org/content/		Free access to large collections of physiological and clinical data. Contains some neural datasets	CT,EEG,MRI,multimodal
ARDC	https://researchdata.edu.au/search/#!/rows=15/sort=list_title%20asc/class=collection/anzsrc-for=1109/p=1/	https://researchdata.edu.au/search/#!/q=/class=collection/	Provides access to various neuroscience datasets from Australian research institutions. Some require access from the labs	EEG,MRI,electron microscopy,fMRI,multimodal
Brain Catalogue	https://braincatalogue.org/		Shares datasets related to comparative brain anatomy across species. Comparison across species	MRI
NES	https://github.com/neuromat/nes		EEG, EMG, TMS, and generic data collection	EEG
NDA NIMH	https://nda.nih.gov/general-query.html?q=query=featured-datasets:HCP%20Aging%20and%20Development	https://nda.nih.gov/general-query.html?q=query=data-structure ~and~ orderBy=shortName ~and~ orderDirection=Ascending ~and~ resultsView=table-view	Informatics platform that facilitates data sharing across all mental health and other research communities. Repositories currently supported include the NIMH Data Archive (NDA), the Adolescent Brain Cognitive Development Study (ABCD), the Connectome Coordination Facility (CCF), and the NIAAA Data Archive (NIAAA DA) Focuses more on disorders	EEG,MRI,PET,electron microscopy,fMRI,multimodal,x-ray
Radboud Repository	https://repository.ubn.ru.nl/handle/2066/148787/browse?authority=18d54e1539fbf8c32dc7241c9ecf402d&type=authorganizationcode		Holds all datsets from Radboud University, can filter to get cognitive neuroscience and neuroscience datasets	EEG,MRI,fMRI
Knowledge Space	https://knowledge-space.org/	https://knowledge-space.org/search?q=mouse	Thousands of datasets indexed from the world's leading neuroscience data repositories, including OpenNeuro, ModelDB, NeuroMorpho, etc. Can be filtered to look through individual repositories or all at once	EEG,MRI,PET,ca2+,cell ephys,electron microscopy,fMRI,multimodal,ultrasound
Zenodo	https://zenodo.org/		General data repository, can search for e.g. “fMRI”	everything
Brain Cell Data	https://www.braincelldata.org/			
Alzheimer’s Disease Neuroimaging Initiative	https://adni.loni.usc.edu/	Contained in the IDA	MRI and PET images, genetics, cognitive tests, CSF and blood biomarkers as predictors of Alzheimer’s disease	MRI,PET
BIRN fMRI and MRI Data	https://www.nitrc.org/frs/?group_id=64	https://www.nitrc.org/frs/?group_id=64	fMRI, MRI scans and atlases for human and mouse brains	MRI,fMRI
Brede Database				
