Year	Month	normalized_best_yield	Authors	Method	source	Publication	Method Note	doi	initial_submission	normalized_technology	include	title	abstract	paper_type	channels	probes	stimulation	indicator	detailed_technology	detailed_yield	areas	free_behavior	normalized_species	is_neuropixels	normalized_chronic	normalized_quotes	date_float	cutting_edge	effective_temporal_resolution_hz	calculated_information_rate
		734			Mineault			10.1101/193383	2017-10-02	calcium_imaging	checked	OnACID: Online Analysis of Calcium Imaging Data in Real Time	Optical imaging methods using calcium indicators are critical for monitoring the activity of large neuronal populations in vivo. Imaging experiments typically generate a large amount of data that needs to be processed to extract the activity of the imaged neuronal sources. While deriving such processing algorithms is an active area of research, most existing methods require the processing of large amounts of data at a time, rendering them vulnerable to the volume of the recorded data, and preventing realtime experimental interrogation. Here we introduce OnACID, an Online framework for the Analysis of streaming Calcium Imaging Data, including i) motion artifact correction, ii) neuronal source extraction, and iii) activity denoising and deconvolution. Our approach combines and extends previous work on online dictionary learning and calcium imaging data analysis, to deliver an automated pipeline that can discover and track the activity of hundreds of cells in real time, thereby enabling new types of closed-loop experiments. We apply our algorithm on two large scale experimental datasets, benchmark its performance on manually annotated data, and show that it outperforms a popular offline approach.	methods	unknown	unknown	unknown	GCaMP, 2-photon	Online analysis of streaming calcium imaging data using OnACID framework in two-photon setups	Detected and tracked 727 to 734 neurons in 50-65 minute long sessions.	['hippocampal', 'parietal cortex']	unknown	mouse		True	"Calcium imaging methods continue to gain traction among experimental neuroscientists due to their capability of monitoring large targeted neuronal populations across multiple days or weeks with decisecond temporal and single-neuron spatial resolution.

The fine spatiotemporal resolution of calcium imaging comes at a data rate cost; a typical two-photon (2p) experiment on a 512×512 pixel large FOV imaged at 30Hz, generates ∼50GB of data (in 16-bit integer format) per hour.

Our framework is highly scalable with minimal memory requirements, as it processes the data in a streaming fashion one frame at a time, while keeping in memory a set of low dimensional sufficient statistics and a small minibatch of the last data frames.

We apply OnACID to two large-scale (50 and 65 minute long) mouse in vivo 2p datasets; our algorithm can find and track hundreds of neurons faster than real-time, and outperforms the CNMF algorithm of [28] benchmarked on multiple manual annotations using a precision-recall framework.

Application to in vivo 2p mouse hippocampal data: Next we considered a larger scale (90K frames, 480× 480 pixels) real 2p calcium imaging dataset taken at 30Hz (i.e., 50 minute experiment). Motion artifacts were corrected prior to the analysis described below. The online algorithm was initialized on the first 1000 frames of the dataset using a Python implementation of the CNMF algorithm found in the CaImAn package [14]. During initialization 139 active sources were detected; by the end of all 90K frames, 727 active sources had been detected and tracked (5 of which were discarded due to their small size).

The first 3000 frames were used for initialization during which the CNMF algorithm found 442 neurons, before switching to OnACID, which by the end of the experiment found a total of 752 neurons (734 after filtering for size).

OnACID can detect and track neurons with very sparse spiking over the course of the entire 50 minute experiment (Fig. 3C-top), and produce traces that are highly correlated with their offline counterparts."	2017.751836	9		
		10000			Mineault			10.1101/434035	2018-10-03	calcium_imaging	checked	Wide and Deep Imaging of Neuronal Activities by a Wearable NeuroImager Reveals Premotor Activity in the Whole Motor Cortex	Wearable technologies for functional whole brain imaging in freely moving animals would advance our understanding of cognitive processing and adaptive behavior. Fluorescence imaging can visualize the activity of individual neurons in real time, but conventional microscopes have limited sample coverage in both the width and depth of view. Here we developed a novel head-mounted laser camera (HLC) with macro and deep-focus lenses that enable fluorescence imaging at cellular resolution for comprehensive imaging in mice expressing a layer- and cell type-specific calcium probe. We visualized orientation selectivity in individual excitatory neurons across the whole visual cortex of one hemisphere, and cell assembly expressing the premotor activity that precedes voluntary movement across the motor cortex of both hemispheres. Including options for multiplex and wireless interfaces, our wearable, wide- and deep-imaging HLC technology could enable simple and economical mapping of neuronal populations underlying cognition and behavior.	methods			unknown	CaMK2a-G-CaMP7, calcium imaging with head-mounted laser camera (HLC), 2-photon microscopy	head-mounted laser camera (HLC) for wide and deep-field calcium imaging at cellular resolution, 2-photon microscopy used for some experiments	Approximately 10,000 neurons per session in a field of view.	['visual cortex', 'motor cortex']	TRUE	mouse		True	"Here we developed a novel head-mounted laser camera (HLC) with macro and deep-focus lenses that enable fluorescence imaging at cellular resolution for comprehensive imaging in mice expressing a layer- and cell type-specific calcium probe.

We visualized orientation selectivity in individual excitatory neurons across the whole visual cortex of one hemisphere, and cell assembly expressing the premotor activity that precedes voluntary movement across the motor cortex of both hemispheres.

Importantly, since the wearable HLC is robustly fixed to the mouse skull, normal body movements do not perturb the wide-view fluorescence imaging...

The number of blinking spots representing presumptive cellular elements in the field of view in Fig. 1d was estimated at approximately 10,000 (Supplementary Fig. 3, Supplementary Movie 3).

We confirmed that the imaging of neuronal activities by the HLC attached to the head of freely moving mice causes no significant increase of stress, and does not affect the locomotor activity and the behavioral pattern (Supplementary Fig. 2).

The findings indicate that the HLC can acquire fluorescence signals deep in the cerebral cortex at high precision compared to a conventional wide-field fluorescence microscope.

As two examples in the present study, CaMK2a-G-CaMP7 mice expressing G-CaMP specifically in excitatory neurons...

We developed what we term “restriction motion experiment” to easily detect the activity associated with a specific movement...

In (f), the fluorescence images of the anesthetized mouse were taken by 2-photon microscopy."	2018.75391	4		
		4600			Mineault			10.1101/441014	2018-10-12	calcium_imaging	checked	Cellular organization of visual information processing channels in the mouse visual cortex	"Visual processing and behavior depend on specialized neural representations and information channels that encode distinct visual information and enable distinct computations. Our understanding of the neural substrate, however, remain severely limited by sparse recordings and the restricted range of visual areas and visual stimuli considered. We characterized in the mouse the multidimensional spatiotemporal tuning properties of > 30,000 layer 2/3 pyramidal neurons across seven areas of the cortex. The dataset reveals population specialized for processing of oriented and non-oriented contrast, spatiotemporal frequency, and motion speed. Areal analysis reveals profound functional diversity and specificity as well as highly specific representations of visual processing channels in distinct visual areas. Clustering analysis shows a branching of visual representations along the posterior to anterior axis, and between lateral and dorsal areas. Overall, this dataset provides a cellular-resolution atlas for understanding organizing principles underlying sensory representations across the cortex.

SummaryVisual representations and visual channels are the cornerstones of mammalian visual processing and critical for a range of life sustaining behaviors. However, the lack of data sets spanning multiple visual areas preclude unambiguous identification of visual processing streams and the sparse, singular recording data sets obtained thus far are insufficient to reveal the functional diversity of visual areas and to study visual information channels. We characterized the tunings of over 30,000 cortical excitatory neurons from 7 visual areas to a broad array of stimuli and studied their responses in terms of their ability to encode orientation, spatiotemporal contrast and visual motion speed. We found all mouse visual cortical areas convey diverse information but show distinct biases in terms of numbers of neurons tuned to particular spatiotemporal features. Neurons in visual areas differ in their spatiotemporal tuning but also in their relative response to oriented and unoriented contrast. We uncovered a population that preferentially responds to unoriented contrast and shows only weak responses to oriented stimuli. This population is strongly overrepresented in certain areas (V1, LM and LI) and underrepresented in others (AL, RL, AM, and PM). Spatiotemporal tunings are broadly distributed in all visual areas indicating that all areas have access to broad spatiotemporal information. However, individual areas show specific biases. While V1 is heavily biased in favor of low spatial and temporal frequencies, area LM responds more strongly to mid-range frequencies. Areas PM and LI are biased in favor of slowly-varying high-resolution signals. By comparison, anterior areas AL, RL and AM are heavily biased in favor of fast-varying, low to mid spatial frequency signals. Critically, theses biases express themselves in vastly different number of cells tuned to particular features, suggesting differential sampling of visual processing channels across areas. Comparing across areas, we found divergent visual representations between anterior and posterior areas, and between lateral and dorsal areas, suggesting the segregated organization of cortical streams for distinct information processing."	results	unknown	unknown	unknown	Thy1-GCaMP6s	Two-photon calcium imaging	Recorded 40,000 neurons in total across multiple sessions using two-photon calcium imaging. A subsample of 2000 neurons was used for certain analyses.	['V1', 'LM', 'AL', 'RL', 'AM', 'PM', 'LI']	FALSE	mouse		False	"Using two-photon calcium imaging and stochastic visual stimuli, we catalogued the response properties of a dense sample of 40,000 neurons in V1 and six secondary visual areas of awake mice.

We could quantitatively determine the degree to which areas in the mouse visual cortex are specialized for distinct spatiotemporal features.

We undertook a comprehensive functional characterization of layer 2/3 neurons in V1 and six higher visual areas in awake mice using two-photon calcium imaging.

We simultaneously recorded neuronal activities in large volumes (0.8 x 0.8 x 0.15 mm3) of layer 2/3 of the targeted visual cortical areas.

We obtained a subsample of 2000 neurons with random selection, each neuron yielded a vector of peak-normalized responses to ISO and ANISO stimuli.

Neurons responsive to isotropic noise stimuli.

The animal was head-clamped on a platform while consciously viewing the visual stimuli on the display.

Thy1-GCaMP6s-WPRE mice (n = 10, 5 male and 5 female)

Each stimulus condition was presented for 4 second, intertwined with 4-second equiluminent gray screen. In each of the four pseudorandomized trials, a different seed was used to generate unique random noise, resulting in different phases yet constant frequency spectra across trials.

We recorded cellular responses to spectral noise stimuli in layer 2/3 of V1 and six higher visual areas (LM: lateromedial; AL: anterolateral; RL: rostrolateral; AM: anteromedial; PM: posteromedial; LI: laterointermediate)"	2018.778551	4		
		4692			Mineault			10.1101/452672	2018-10-25	calcium_imaging	checked	Stimulus domain transfer in recurrent models for large scale cortical population prediction on video	To better understand the representations in visual cortex, we need to generate better predictions of neural activity in awake animals presented with their ecological input: natural video. Despite recent advances in models for static images, models for predicting responses to natural video are scarce and standard linear-nonlinear models perform poorly. We developed a new deep recurrent network architecture that predicts inferred spiking activity of thousands of mouse V1 neurons simulta-neously recorded with two-photon microscopy, while accounting for confounding factors such as the animals gaze position and brain state changes related to running state and pupil dilation. Powerful system identification models provide an opportunity to gain insight into cortical functions through in silico experiments that can subsequently be tested in the brain. However, in many cases this approach requires that the model is able to generalize to stimulus statistics that it was not trained on, such as band-limited noise and other parameterized stimuli. We investigated these domain transfer properties in our model and find that our model trained on natural images is able to correctly predict the orientation tuning of neurons in responses to artificial noise stimuli. Finally, we show that we can fully generalize from movies to noise and maintain high predictive performance on both stimulus domains by fine-tuning only the final layers weights on a network otherwise trained on natural movies. The converse, however, is not true.	methods	unknown	unknown	unknown	unknown	two-photon microscopy with a large-field-of-view mesoscope	3 sets of 1344-4692 simultaneously recorded deconvolved fluorescence traces from two-photon scans	['V1']	unknown	mouse			"We developed a new deep recurrent network architecture that predicts inferred spiking activity of thousands of mouse V1 neurons simultaneously recorded with two-photon microscopy...

Our data consists of three sets of 1344-4692 simultaneously recorded deconvolved fluorescence traces from two-photon scans in mouse visual cortex area V1 L2/3, collected from three animals using a large-field-of-view mesoscope."	2018.814144	5		
		20000			Mineault			10.1101/679324	2019-06-21	calcium_imaging	checked	High precision coding in mouse visual cortex	"Single neurons in visual cortex provide unreliable measurements of visual features due to their high trial-to-trial variability. It is not known if this ""noise"" extends its effects over large neural populations to impair the global encoding of stimuli. We recorded simultaneously from [~]20,000 neurons in mouse primary visual cortex (V1) and found that the neural populations had discrimination thresholds of [~]0.34{degrees} in an orientation decoding task. These thresholds were nearly 100 times smaller than those reported behaviorally in mice. The discrepancy between neural and behavioral discrimination could not be explained by the types of stimuli we used, by behavioral states or by the sequential nature of perceptual learning tasks. Furthermore, higher-order visual areas lateral to V1 could be decoded equally well. These results imply that the limits of sensory perception in mice are not set by neural noise in sensory cortex, but by the limitations of downstream decoders."	results	unknown	unknown	unknown	GCaMP6s, TetO-GCaMP6s x Emx1-IRES-Cre mice, 2-photon	multi-plane two-photon calcium imaging using a custom-built 2-photon mesoscope	19,665 ± 3,062 neurons per recording (s.d., n=6)	['visual cortex']	TRUE	mouse		False	"We recorded simultaneously from ∼20,000 neurons in mouse visual cortex

We recorded neural activity from visual cortex using multi-plane two-photon calcium imaging

We obtained 19,665 ± 3,062 (s.d., n=6) neurons per recording using the processing pipeline Suite2p

We performed experiments on three mice bred to express GCaMP6s in excitatory neurons: TetO-GCaMP6s x Emx1-IRES-Cre mice

We also performed experiments on three wild-type C57 mice in 17 recordings

We used a custom-built 2-photon mesoscope [57] to record neural activity, and ScanImage [58] for data acquisition, obtaining 18,496 ± 3,441 (s.d., n=32) neurons in the recordings

Surgical methods were similar to those described elsewhere [31]. Briefly, surgeries were performed in adult mice (P35P125) under isoflurane anesthesia (5% for induction, 1-2% during the surgery) in a stereotaxic frame

The mice were free to run on an air-floating ball"	2019.468504	3		
		29000			Mineault			10.1101/745323	2019-08-23	calcium_imaging	checked	A global map of orientation tuning in mouse visual cortex	"In primates and most carnivores, neurons in primary visual cortex are spatially organized by their functional properties. For example, neurons with similar orientation preferences are grouped together in iso-orientation domains that smoothly vary over the cortical sheet. In rodents, on the other hand, neurons with different orientation preferences are thought to be spatially intermingled, a feature which has been termed ""salt-and-pepper"" organization. The apparent absence of any systematic structure in orientation tuning has been considered a defining feature of the rodent visual system for more than a decade, with broad implications for brain development, visual processing, and comparative neurophysiology. Here, we revisited this question using new techniques for wide-field two-photon calcium imaging that enabled us to collect nearly complete population tuning preferences in layers 2-4 across a large fraction of the mouse visual hierarchy. Examining the orientation tuning of these hundreds of thousands of neurons, we found a global map spanning multiple visual cortical areas in which orientation bias was organized around a single pinwheel centered in V1. This pattern was consistent across animals and cortical depth. The existence of this global organization in rodents has implications for our understanding of visual processing and the principles governing the ontogeny and phylogeny of the visual cortex of mammals."	results			FALSE	GCaMP6s, two-photon	two-photon calcium imaging	Over 17,000–29,000 orientation-tuned cells per animal; 49,000 - 68,000 somas segmented per animal; approximately 4600 to 6300 soma per scan	['primary visual cortex', 'anteromedial', 'posteromedial', 'rostrolateral', 'anterolateral', 'lateromedial']	FALSE	mouse		False	"We recorded visual responses from GCaMP6s-expressing excitatory neurons located in L2/3–L4 of primary visual cortex and surrounding higher visual areas in eight mice.

Two-photon calcium imaging was used to record neuronal activity in a 1800×1800×250− 350µm3 volume by placing sequential scans at 25µm increments in depth...

...resulting in over 17,000–29,000 orientation-tuned cells per animal (35.2–49.0%).

In total, over 49,000 - 68,000 somas were segmented per animal.

This resulted in 4600 to 6300 soma masks per scan up to 350µm from the surface, and 1900 to 5300 per scan from 350−500µm from the surface.

Each mouse was allowed to recover for at least 3 days prior to the first experimental imaging session.

Two-photon Imaging. Mice were head-mounted above a cylindrical treadmill and calcium imaging was performed...

To assure we count cells only once, we subsample our recorded cells based on proximity in 3-d space..."	2019.640992	3		
		75000			Mineault			10.1101/2021.07.28.454025	2021-07-29	calcium_imaging	checked	Functional connectomics spanning multiple areas of mouse visual cortex	To understand the brain we must relate neurons functional responses to the circuit architecture that shapes them. Here, we present a large functional connectomics dataset with dense calcium imaging of a millimeter scale volume. We recorded activity from approximately 75,000 neurons in primary visual cortex (VISp) and three higher visual areas (VISrl, VISal and VISlm) in an awake mouse viewing natural movies and synthetic stimuli. The functional data were co-registered with a volumetric electron microscopy (EM) reconstruction containing more than 200,000 cells and 0.5 billion synapses. Subsequent proofreading of a subset of neurons in this volume yielded reconstructions that include complete dendritic trees as well the local and inter-areal axonal projections that map up to thousands of cell-to-cell connections per neuron. Here, we release this dataset as an open-access resource to the scientific community including a set of tools that facilitate data retrieval and downstream analysis. In accompanying papers we describe our findings using the dataset to provide a comprehensive structural characterization of cortical cell types1-3 and the most detailed synaptic level connectivity diagram of a cortical column to date2, uncovering unique cell-type specific inhibitory motifs that can be linked to gene expression data4. Functionally, we identify new computational principles of how information is integrated across visual space5, characterize novel types of neuronal invariances6 and bring structure and function together to decipher a general principle that wires excitatory neurons within and across areas7, 8.	results	unknown	unknown	visual stimuli	GCaMP6s in excitatory neurons via SLC17a7-Cre and Ai162	two-photon random access mesoscope (2P-RAM)	An estimated 75,909 unique functionally-imaged neurons from multiple scans, indicating consolidation from segmented images.	['VISp', 'VISrl', 'VISal', 'VISlm']	FALSE	mouse		True	"The value of an integrated approach for understanding the neocortex by combining functional characterization of single neuron activity with the underlying circuit architecture has been understood since the dawn of modern neuroscience. However, in practice, anatomical connectivity and physiology have been studied mostly separately.

Here we present a unique functional connectomics dataset that contains calcium imaging of an estimated 75,000 neurons from primary visual cortex (VISp) and three higher visual areas (VISrl, VISal and VISlm), that were recorded while a mouse viewed natural movies and parametric stimuli.

The functional data were co-registered with electron microscopy (EM) data of the same volume which were automatically segmented, reconstructing more than 200,000 cells (neuronal and non-neuronal) and 524 million synapses.

The largest proofread excitatory axon reached a length of 19 mm and formed 1893 synapses, while the largest inhibitory axon formed 10081 synapses.

Functional Data Neurophysiology Overview The calcium imaging data includes the single-cell responses of an estimated 75,000 excitatory neurons to a variety of visual stimuli across multiple visual areas spanning cortical layers 2 through 5.

From the calcium images, we have extracted the responses of approximately 75,000 pyramidal cells to the visual stimuli using a constrained non-negative matrix factorization approach.

Each scan was composed of multiple imaging planes, and leveraged the wide field-of-view of the two-photon random access mesoscope (2P-RAM) (Sofroniew et al. 2016) to capture two adjacent overlapping 620 µm-wide fields at each depth.

Using a greedy consolidation algorithm based on 3D proximity, we estimate that the functional imaging volume contains 75,909 unique functionally-imaged neurons consolidated from 115,372 segmented somatic masks, with many neurons imaged in two or more scans.

During imaging, the animal was head-restrained, and the stimulus was presented to the left visual field.

Calcium imaging was performed from P75 to P81 in a transgenic mouse expressing GCaMP6s in excitatory neurons via SLC17a7-Cre and Ai162 (Daigle et al. 2018)."	2021.573954	4		
		10096			Mineault			10.1101/2021.09.20.461015	2021-09-21	calcium_imaging	checked	Large-scale two-photon calcium imaging in freely moving mice	"We developed a miniaturized two-photon microscope (MINI2P) for fast, high-resolution, multiplane calcium imaging of over 1,000 neurons at a time in freely moving mice. With a microscope weight below 3g and a highly flexible connection cable, MINI2P allowed imaging to proceed with no impediment of behavior in half-hour free-foraging trials compared to untethered, unimplanted animals. The improved cell yield was achieved through a new optical system design featuring an enlarged field of view (FOV) and a new micro-tunable lens with increased z-scanning range and speed that allowed for fast and stable imaging of multiple, interleaved planes as well as 3D functional imaging. A novel technique for successive imaging across multiple, adjacent FOVs enabled recordings from more than 10,000 neurons in the same animal. Large-scale proof-of-principle data were obtained from cell populations in visual cortex, medial entorhinal cortex, and hippocampus, revealing spatial tuning of cells in all areas, including visual cortex.

HighlightsWe developed a lightweight 2-photon miniscope for imaging in freely-foraging mice

Activity can be monitored in volumes of over 1,000 visual or entorhinal-cortex cells

A new z-scanning module allows fast imaging across multiple interleaved planes

Successive imaging from adjacent regions enables imaging from more than 10,000 cells"	methods			unknown	GCaMP6s, transgenic mouse line, 2-photon	MINI2P, next-generation 2P miniscope enabling true 3D functional imaging across large populations	10,096 non-repeated neurons with average yields per FOV around 404 neurons	['visual cortex', 'medial entorhinal cortex', 'CA1']	TRUE	mouse		True	"We present a new generation of 2P miniscopes, MINI2P, that overcomes the limits of previous versions by both meeting requirements for fatigue-free exploratory behavior during extended recording periods and satisfying demands for further increasing the cell yield by an order of magnitude.

We used MINI2P to obtain large scale recordings of dense populations of neurons in the medial entorhinal cortex (MEC) and the neighboring parasubiculum (PAS).

With these three strategies for increasing cell yield, MINI2P could more than double the number of simultaneously recorded cells compared to previous 2P miniscope versions, and the number could be increased more than tenfold over successive recordings.

MINI2P is controlled by open-source 2P acquisition software (ScanImage).

MINI2P enables large-scale high-resolution imaging in diverse brain structures.

We demonstrated that hundreds of identifiable grid cells could be recorded simultaneously from a single freely-moving mouse with MINI2P.

We were able to extract in total 10,096 non-repeated layer 2/3 excitatory neurons via Suite2p, yielding an average of 404 cells per 500 × 500 μm2 FOV across the two planes.

MINI2P allows animals to behave with the same level of flexibility as with 1P miniscopes, despite the added 2P hardware. Mice can carry MINI2P microscopes on their head for half an hour or more without interruptions, while they roam freely in open environments.

This first successful demonstration of large-population, high-resolution 3D functional imaging with 2P miniscopes opens the door to studies of 3D neuronal calcium dynamics in freely-moving animals.

The species studied were mice through most of the experiments.

We were able to detect hundreds of neurons in a single FOV in all three regions (592 cells in VC, 404 in MEC, and 464 in CA1).

Experiments were performed according to the Norwegian Animal Welfare Act using wild-type (C57BL/6JBomTac) as well as transgenic mice, which express GCaMP6s ubiquitously under control of the CaMKII promoter.

MINI2P microscope enables true 3D functional imaging. We supplement these advances with a novel technique where adjacent FOVs are stitched together over successive recordings, increasing the yield of successively recorded cells to over 10,000 in one animal."	2021.721801	10		
		10500			Mineault			10.1101/2023.03.20.533476	2023-03-21	calcium_imaging	checked	Mesoscale volumetric light field (MesoLF) imaging of neuroactivity across cortical areas at 18 Hz	Various implementations of mesoscopes provide optical access for calcium imaging across multi-millimeter fields-of-view (FOV) in the mammalian brain. However, capturing the activity of the neuronal population within such FOVs near-simultaneously and in a volumetric fashion has remained challenging since approaches for imaging scattering brain tissues typically are based on sequential acquisition. Here, we present a modular, mesoscale light field (MesoLF) imaging hardware and software solution that allows recording from thousands of neurons within volumes of  4000 x 200 {micro}m, located at up to 400 {micro}m depth in the mouse cortex, at 18 volumes per second. Our optical design and computational approach enable up to hour-long recording of [~]10,000 neurons across multiple cortical areas in mice using workstation-grade computing resources.	methods			whisker stimulation	GCaMP	MesoLF, Mesoscale Light Field imaging with seeded iterative demixing	More than 10,500 active neurons recorded per session, per mouse	['posterior parietal', 'primary somatosensory', 'primary visual', 'anteromedial visual', 'retrosplenial']	FALSE	mouse		False	"We present a modular, mesoscale light field (MesoLF) imaging hardware and software solution that allows recording from thousands of neurons within volumes of 4000 × 200 µm, located at up to 400 µm depth in the mouse cortex, at 18 volumes per second.

Our design and computational approach enable up to hour-long recording of ~10,000 neurons across multiple cortical areas in mice using workstation-grade computing resources.

Using a modular, Mesoscale Light Field (MesoLF) imaging hardware and software solution, we demonstrate volumetric recording from more than 10,500 active neurons across different regions of the mouse cortex within different volumes of 4000 × 200 µm positioned at depths up to ~400 µm.

Performing up to hour-long calcium imaging in the cortex of head-restrained mice.

We verified the in vivo performance of our high-resolution MesoLF optical module and signal extraction pipeline by performing up to hour-long calcium imaging in the cortex of head-restrained mice.

The imaged volume contained all or the majority of the posterior parietal, primary somatosensory, primary visual, anteromedial visual, and retrosplenial cortical area."	2023.216698	10		
		70000			Mineault			10.1101/2023.07.25.550571	2023-07-28	calcium_imaging	checked	Rastermap: a discovery method for neural population recordings	"Neurophysiology has long progressed through exploratory experiments and chance discoveries. Anecdotes abound of researchers setting up experiments while listening to spikes in real time and observing a pattern of consistent firing when certain stimuli or behaviors happened. With the advent of large-scale recordings, such close observation of data has become harder because high-dimensional spaces are impenetrable to our pattern-finding intuitions. To help ourselves find patterns in neural data, our lab has been openly developing a visualization framework known as ""Rastermap"" over the past five years. Rastermap takes advantage of a new global optimization algorithm for sorting neural responses along a one-dimensional manifold. Displayed as a raster plot, the sorted neurons show a variety of activity patterns, which can be more easily identified and interpreted. We first benchmark Rastermap on realistic simulations with multiplexed cognitive variables. Then we demonstrate it on recordings of tens of thousands of neurons from mouse visual and sensorimotor cortex during spontaneous, stimulus-evoked and task-evoked epochs, as well as on whole-brain zebrafish recordings, widefield calcium imaging data, population recordings from rat hippocampus and artificial neural networks. Finally, we illustrate high-dimensional scenarios where Rastermap and similar algorithms cannot be used effectively."	methods			visual	GCaMP6s	Two-photon calcium imaging with a custom-built mesoscope and GCaMP6s expression using TetO-GCaMP6s x Emx1-IRES-Cre mice.	Up to 70,000 simultaneously-recorded neurons in sessions involving mice behaving freely on an air-floating ball.	['visual cortex', 'sensorimotor cortex', 'anterior motor cortex']	TRUE	mouse		True	"We have so far illustrated Rastermap on large-scale calcium-imaging data from mouse cortex.

In this section, we show that Rastermap can be applied more broadly to recordings from other organisms, with fewer recorded neurons and even on bulk neural activity such as from widefield one-photon imaging.

we illustrate Rastermap on a variety of neural datasets from different species (mouse, rat, zebrafish) as well as on artificial neural networks.

we apply it to a variety of datasets. We start in this section and the next, with datasets collected in our own lab, using two-photon calcium imaging of large neural populations of up to 70,000 simultaneously-recorded neurons at sampling frequencies of ~3.2 Hz.

The mice were free to run on an air-floating ball.

3 recordings in 3 mice bred to express GCaMP6s in excitatory neurons: TetO-GCaMP6s x Emx1-IRES-Cre mice.

Surgeries were performed in adult mice (P35–P125) following procedures outlined in [31]. In brief, mice were anesthetized with Isoflurane while a craniotomy was performed.

We used a custom-built 2-photon mesoscope to record neural activity, and ScanImage for data acquisition.

The mice were acclimatized to running on the ball for several sessions before imaging, and one mouse was trained on a virtual reality task for two weeks prior to the recording.

When fewer neurons are recorded (<200), Rastermap can skip the k-means clustering step and directly order the neurons according to their asymmetric cross-correlogram peaks. This also allows us to skip the upsampling step, thereby simplifying the algorithm substantially.

We used recordings where different optomotor paradigms were presented using different visual stimulation conditions."	2023.569888	5		
		970546			Mineault			10.1101/2024.01.15.575721	2024-01-16	calcium_imaging	checked	Simultaneous, cortex-wide and cellular-resolution neuronal population dynamics reveal an unbounded scaling of dimensionality with neuron number	"The brains remarkable properties arise from collective activity of millions of neurons. Widespread application of dimensionality reduction to multi-neuron recordings implies that neural dynamics can be approximated by low-dimensional ""latent"" signals reflecting neural computations. However, what would be the biological utility of such a redundant and metabolically costly encoding scheme and what is the appropriate resolution and scale of neural recording to understand brain function? Imaging the activity of one million neurons at cellular resolution and near-simultaneously across mouse cortex, we demonstrate an unbounded scaling of dimensionality with neuron number. While half of the neural variance lies within sixteen behavior-related dimensions, we find this unbounded scaling of dimensionality to correspond to an ever-increasing number of internal variables without immediate behavioral correlates. The activity patterns underlying these higher dimensions are fine-grained and cortex-wide, highlighting that large-scale recording is required to uncover the full neural substrates of internal and potentially cognitive processes."	results	unknown	unknown	unknown	GCaMP6s or GCaMP6f	Light Beads Microscopy (LBM), a volumetric calcium imaging technique capable of recording up to one million neurons.	Recorded between 6,519 to 970,546 neurons. Chronic recording via cranial window.	['mouse dorsal cortex', 'including visual, somatosensory, posterior parietal, retrosplenial, and motor cortices']	FALSE	mouse		True	"Imaging the activity of one million neurons at cellular resolution and near-simultaneously across mouse cortex...

...recording the dynamics of up to one million neurons distributed across different depths and regions of mouse dorsal cortex using light beads microscopy (LBM)...

...using light beads microscopy (LBM) (Demas et al., 2021) during spontaneous and uninstructed behavior in head-fixed mice.

Neural activity across these cortical regions was imaged for one hour while animals were free to move on a linear treadmill and exhibited epochs of various spontaneous and uninstructed behaviors...

...providing a unique opportunity to assess the geometry and spatiotemporal structure of cortex-wide neuronal dynamics.

The species studied in this paper is mice, specifically transgenic mice expressing the genetically encoded calcium indicator GCaMP6s or GCaMP6f...

The full neural state space was measured from 6,519 to 970,546 near-simultaneously recorded neurons, respectively...

To investigate the geometry and dimensionality of spontaneous neuronal population dynamics across different depths and regions of the dorsal cortex of the mouse...

We imaged transgenic mice expressing the genetically encoded calcium indicator GCaMP6s or GCaMP6f...

...chronic cranial window implantations (see STAR Methods for details) allowed for optical access to the majority of the dorsal cortical volume...

Mice were head-fixed on a low-friction, self-driven belt treadmill..."	2024.040809	1		
